code_departement,annee,type_local,pieces_cat,prix_m2_median,transactions
01,2021,Appartement,Studio,4000.0,557
01,2021,Appartement,T2,3069.1786283891547,1364
01,2021,Appartement,T3,2598.8372093023254,1651
01,2021,Appartement,T4,2244.8979591836733,991
01,2021,Appartement,T5+,1905.088932806324,378
01,2021,Appartement,Tous,2678.5714285714284,4946
01,2021,Maison,Studio,2612.2549019607845,157
01,2021,Maison,T2,2195.121951219512,423
01,2021,Maison,T3,2222.222222222222,1254
01,2021,Maison,T4,2500.0,2639
01,2021,Maison,T5+,2436.9747899159665,3574
01,2021,Maison,Tous,2419.9577931866143,8054
01,2021,Tous,Studio,3579.222972972973,714
01,2021,Tous,T2,2860.4651162790697,1787
01,2021,Tous,T3,2426.470588235294,2905
01,2021,Tous,T4,2444.475571492604,3630
01,2021,Tous,T5+,2391.304347826087,3952
01,2021,Tous,Tous,2500.0,13000
02,2021,Appartement,Studio,5312.5,409
02,2021,Appartement,T2,3243.855981416957,696
02,2021,Appartement,T3,2043.264942016057,590
02,2021,Appartement,T4,1416.408188585608,224
02,2021,Appartement,T5+,1256.694397993311,82
02,2021,Appartement,Tous,2478.955284552845,2004
02,2021,Maison,Studio,1530.580357142857,170
02,2021,Maison,T2,1263.157894736842,603
02,2021,Maison,T3,1300.0,1705
02,2021,Maison,T4,1311.9877049180327,2528
02,2021,Maison,T5+,1309.278350515464,3427
02,2021,Maison,Tous,1307.6923076923076,8437
02,2021,Tous,Studio,3906.25,579
02,2021,Tous,T2,1833.3333333333333,1299
02,2021,Tous,T3,1428.5714285714287,2295
02,2021,Tous,T4,1323.9268680445152,2752
02,2021,Tous,T5+,1308.3333333333333,3509
02,2021,Tous,Tous,1397.7272727272727,10441
03,2021,Appartement,Studio,3881.3,617
03,2021,Appartement,T2,1890.0,895
03,2021,Appartement,T3,1380.952380952381,1033
03,2021,Appartement,T4,1177.124183006536,448
03,2021,Appartement,T5+,1107.398771610555,142
03,2021,Appartement,Tous,1646.6666666666667,3147
03,2021,Maison,Studio,1235.2941176470588,241
03,2021,Maison,T2,1148.3516483516482,650
03,2021,Maison,T3,1175.927601809955,1490
03,2021,Maison,T4,1302.6315789473683,2033
03,2021,Maison,T5+,1201.2383900928792,2129
03,2021,Maison,Tous,1216.2162162162163,6561
03,2021,Tous,Studio,2820.0,858
03,2021,Tous,T2,1463.4146341463415,1545
03,2021,Tous,T3,1268.2926829268292,2523
03,2021,Tous,T4,1266.6666666666667,2481
03,2021,Tous,T5+,1200.0,2271
03,2021,Tous,Tous,1315.7894736842106,9708
04,2021,Appartement,Studio,2138.8888888888887,715
04,2021,Appartement,T2,2201.4285714285716,603
04,2021,Appartement,T3,2013.5135135135135,605
04,2021,Appartement,T4,1728.735632183908,308
04,2021,Appartement,T5+,1785.7142857142858,127
04,2021,Appartement,Tous,2065.7894736842104,2369
04,2021,Maison,Studio,2557.8947368421054,109
04,2021,Maison,T2,2197.338598901099,294
04,2021,Maison,T3,2442.622950819672,641
04,2021,Maison,T4,2444.84126984127,832
04,2021,Maison,T5+,2382.505175983437,762
04,2021,Maison,Tous,2407.4074074074074,2639
04,2021,Tous,Studio,2162.5625625625626,824
04,2021,Tous,T2,2200.0,897
04,2021,Tous,T3,2201.2987012987014,1246
04,2021,Tous,T4,2280.4545454545455,1140
04,2021,Tous,T5+,2333.3333333333335,889
04,2021,Tous,Tous,2245.4545454545455,5008
05,2021,Appartement,Studio,2491.2867647058824,898
05,2021,Appartement,T2,2671.4528301886794,997
05,2021,Appartement,T3,2496.666666666667,824
05,2021,Appartement,T4,2230.769230769231,437
05,2021,Appartement,T5+,2190.6306509945753,130
05,2021,Appartement,Tous,2500.0,3290
05,2021,Maison,Studio,2122.761627906977,78
05,2021,Maison,T2,2258.064516129032,159
05,2021,Maison,T3,2432.4324324324325,298
05,2021,Maison,T4,2648.3157365510306,484
05,2021,Maison,T5+,2407.4074074074074,477
05,2021,Maison,Tous,2457.6923076923076,1499
05,2021,Tous,Studio,2474.442105263158,976
05,2021,Tous,T2,2646.824324324324,1156
05,2021,Tous,T3,2469.8773448773445,1122
05,2021,Tous,T4,2401.0752688172042,921
05,2021,Tous,T5+,2365.5913978494623,607
05,2021,Tous,Tous,2487.9761904761904,4789
06,2021,Appartement,Studio,4705.882352941177,5677
06,2021,Appartement,T2,4389.894678492239,8542
06,2021,Appartement,T3,4200.0,8038
06,2021,Appartement,T4,4049.1259795057267,3108
06,2021,Appartement,T5+,4250.0,773
06,2021,Appartement,Tous,4354.8387096774195,26158
06,2021,Maison,Studio,5600.0,219
06,2021,Maison,T2,5153.846153846154,542
06,2021,Maison,T3,5058.823529411765,1443
06,2021,Maison,T4,4918.75,2371
06,2021,Maison,T5+,5164.473684210527,3403
06,2021,Maison,Tous,5050.0,7981
06,2021,Tous,Studio,4720.0,5896
06,2021,Tous,T2,4418.365102639296,9084
06,2021,Tous,T3,4303.797468354431,9481
06,2021,Tous,T4,4393.939393939394,5479
06,2021,Tous,T5+,5000.0,4176
06,2021,Tous,Tous,4500.0,34139
07,2021,Appartement,Studio,3643.478260869565,367
07,2021,Appartement,T2,2410.7142857142853,626
07,2021,Appartement,T3,1880.8962264150944,684
07,2021,Appartement,T4,1543.6170212765958,427
07,2021,Appartement,T5+,1534.1979166666667,147
07,2021,Appartement,Tous,1987.3417721518988,2267
07,2021,Maison,Studio,2702.083333333333,252
07,2021,Maison,T2,2205.8823529411766,589
07,2021,Maison,T3,1987.857142857143,1166
07,2021,Maison,T4,2122.9645903334194,1668
07,2021,Maison,T5+,1935.483870967742,1529
07,2021,Maison,Tous,2040.8163265306123,5218
07,2021,Tous,Studio,3062.5,619
07,2021,Tous,T2,2307.6923076923076,1215
07,2021,Tous,T3,1944.9242424242425,1850
07,2021,Tous,T4,2022.2222222222222,2095
07,2021,Tous,T5+,1907.7517162471395,1676
07,2021,Tous,Tous,2027.2727272727273,7485
08,2021,Appartement,Studio,2000.0,221
08,2021,Appartement,T2,2236.842105263158,427
08,2021,Appartement,T3,1620.6004901960782,532
08,2021,Appartement,T4,1293.0486142662426,256
08,2021,Appartement,T5+,1346.1538461538462,113
08,2021,Appartement,Tous,1661.904761904762,1550
08,2021,Maison,Studio,1024.0,95
08,2021,Maison,T2,1145.3869047619048,218
08,2021,Maison,T3,1084.047619047619,782
08,2021,Maison,T4,1316.7857142857142,1096
08,2021,Maison,T5+,1198.1981981981983,1235
08,2021,Maison,Tous,1200.0,3431
08,2021,Tous,Studio,1556.060606060606,316
08,2021,Tous,T2,1636.3636363636363,645
08,2021,Tous,T3,1221.6963960684384,1314
08,2021,Tous,T4,1316.7857142857142,1352
08,2021,Tous,T5+,1200.0,1348
08,2021,Tous,Tous,1290.0,4981
09,2021,Appartement,Studio,2318.229166666667,200
09,2021,Appartement,T2,1920.0,339
09,2021,Appartement,T3,1476.1454545454546,317
09,2021,Appartement,T4,1331.878557874763,120
09,2021,Appartement,T5+,1118.1818181818182,59
09,2021,Appartement,Tous,1681.8181818181818,1039
09,2021,Maison,Studio,1500.0,136
09,2021,Maison,T2,1389.8305084745762,353
09,2021,Maison,T3,1333.3333333333333,780
09,2021,Maison,T4,1527.65625,1099
09,2021,Maison,T5+,1390.0852272727273,936
09,2021,Maison,Tous,1417.65087605451,3310
09,2021,Tous,Studio,2044.2307692307693,336
09,2021,Tous,T2,1654.078947368421,692
09,2021,Tous,T3,1379.3103448275863,1097
09,2021,Tous,T4,1512.21,1219
09,2021,Tous,T5+,1374.1695652173912,995
09,2021,Tous,Tous,1478.9473684210527,4349
10,2021,Appartement,Studio,2910.7142857142853,498
10,2021,Appartement,T2,2021.276595744681,804
10,2021,Appartement,T3,1675.8333333333335,654
10,2021,Appartement,T4,1371.6814159292035,447
10,2021,Appartement,T5+,1402.8082263284268,120
10,2021,Appartement,Tous,1787.2340425531916,2523
10,2021,Maison,Studio,1851.851851851852,121
10,2021,Maison,T2,1475.0,303
10,2021,Maison,T3,1414.213564213564,872
10,2021,Maison,T4,1569.7674418604652,1361
10,2021,Maison,T5+,1506.849315068493,1507
10,2021,Maison,Tous,1511.6279069767443,4172
10,2021,Tous,Studio,2677.4193548387098,619
10,2021,Tous,T2,1854.8387096774193,1107
10,2021,Tous,T3,1520.4849498327758,1526
10,2021,Tous,T4,1505.3661616161617,1808
10,2021,Tous,T5+,1495.2380952380952,1627
10,2021,Tous,Tous,1614.8148148148148,6695
11,2021,Appartement,Studio,2903.2258064516127,617
11,2021,Appartement,T2,2500.0,1596
11,2021,Appartement,T3,2063.4920634920636,1047
11,2021,Appartement,T4,1693.1818181818182,333
11,2021,Appartement,T5+,1299.4845360824743,115
11,2021,Appartement,Tous,2332.5806451612902,3713
11,2021,Maison,Studio,1666.6666666666667,194
11,2021,Maison,T2,2051.7763157894733,804
11,2021,Maison,T3,1778.6363636363637,1673
11,2021,Maison,T4,1888.3333333333335,2690
11,2021,Maison,T5+,1605.0648080215212,2372
11,2021,Maison,Tous,1772.2139498432603,7738
11,2021,Tous,Studio,2666.6666666666665,811
11,2021,Tous,T2,2424.621212121212,2400
11,2021,Tous,T3,1904.7619047619048,2720
11,2021,Tous,T4,1881.578947368421,3023
11,2021,Tous,T5+,1589.344827586207,2487
11,2021,Tous,Tous,1913.4615384615386,11451
12,2021,Appartement,Studio,2985.714285714286,363
12,2021,Appartement,T2,2083.3333333333335,682
12,2021,Appartement,T3,1824.4631185807657,674
12,2021,Appartement,T4,1585.3658536585365,383
12,2021,Appartement,T5+,1380.0,135
12,2021,Appartement,Tous,1888.888888888889,2241
12,2021,Maison,Studio,1589.0625,210
12,2021,Maison,T2,1488.888888888889,419
12,2021,Maison,T3,1425.0,839
12,2021,Maison,T4,1609.1954022988505,1188
12,2021,Maison,T5+,1428.5714285714287,1293
12,2021,Maison,Tous,1492.3376623376623,3964
12,2021,Tous,Studio,2333.3333333333335,573
12,2021,Tous,T2,1862.7450980392157,1101
12,2021,Tous,T3,1614.7887323943662,1513
12,2021,Tous,T4,1605.952380952381,1571
12,2021,Tous,T5+,1424.196615827338,1428
12,2021,Tous,Tous,1628.5714285714287,6205
13,2021,Appartement,Studio,4225.806451612903,4316
13,2021,Appartement,T2,3632.608695652174,6763
13,2021,Appartement,T3,3043.2098765432097,8951
13,2021,Appartement,T4,2684.784810126582,4739
13,2021,Appartement,T5+,2762.0403138944453,1298
13,2021,Appartement,Tous,3255.406976744186,26114
