mois,type_local,pieces_cat,prix_m2_median,transactions
2021-01,Appartement,Studio,4552.878289473684,7522
2021-01,Appartement,T2,3564.2428571428572,11926
2021-01,Appartement,T3,2937.5,11562
2021-01,Appartement,T4,2477.777777777778,6012
2021-01,Appartement,T5+,2334.8909657320874,1896
2021-01,Appartement,Tous,3260.8695652173915,38978
2021-01,Maison,Studio,2935.064935064935,1787
2021-01,Maison,T2,2000.0,4036
2021-01,Maison,T3,1937.0833333333335,10238
2021-01,Maison,T4,2027.027027027027,17186
2021-01,Maison,T5+,1923.076923076923,21483
2021-01,Maison,Tous,1982.9545454545455,54791
2021-01,Tous,Studio,4360.0,9309
2021-01,Tous,T2,3207.940251572327,15962
2021-01,Tous,T3,2454.195804195804,21800
2021-01,Tous,T4,2126.865671641791,23198
2021-01,Tous,T5+,1948.5981308411215,23379
2021-01,Tous,Tous,2395.8333333333335,93769
2021-02,Appartement,Studio,4500.0,6954
2021-02,Appartement,T2,3555.5555555555557,11645
2021-02,Appartement,T3,2982.818181818182,11147
2021-02,Appartement,T4,2530.4576376004948,5796
2021-02,Appartement,T5+,2378.9908367494572,1906
2021-02,Appartement,Tous,3272.554112554112,37502
2021-02,Maison,Studio,2288.690476190476,1478
2021-02,Maison,T2,2023.8095238095239,3795
2021-02,Maison,T3,1933.578431372549,9856
2021-02,Maison,T4,2045.4545454545455,16421
2021-02,Maison,T5+,1928.5714285714287,19959
2021-02,Maison,Tous,1980.5194805194806,51581
2021-02,Tous,Studio,4197.826086956522,8432
2021-02,Tous,T2,3202.5276854928015,15440
2021-02,Tous,T3,2459.0163934426228,21003
2021-02,Tous,T4,2154.6099290780144,22217
2021-02,Tous,T5+,1954.542372881356,21865
2021-02,Tous,Tous,2389.43661971831,89083
2021-03,Appartement,Studio,4544.5,8252
2021-03,Appartement,T2,3603.083333333333,14046
2021-03,Appartement,T3,2973.9607493309545,13600
2021-03,Appartement,T4,2477.8761061946902,7039
2021-03,Appartement,T5+,2326.086956521739,2355
2021-03,Appartement,Tous,3260.8695652173915,45360
2021-03,Maison,Studio,2302.5,1676
2021-03,Maison,T2,2089.5522388059703,4476
2021-03,Maison,T3,1969.6969696969697,11383
2021-03,Maison,T4,2062.5,18845
2021-03,Maison,T5+,1932.7731092436975,23581
2021-03,Maison,Tous,2000.0,60055
2021-03,Tous,Studio,4250.0,9928
2021-03,Tous,T2,3260.8695652173915,18522
2021-03,Tous,T3,2500.0,24983
2021-03,Tous,T4,2161.8682684341343,25884
2021-03,Tous,T5+,1956.1713947323897,25936
2021-03,Tous,Tous,2421.978021978022,105415
2021-04,Appartement,Studio,4515.64027370479,8514
2021-04,Appartement,T2,3600.0,14163
2021-04,Appartement,T3,2979.6680790960454,13674
2021-04,Appartement,T4,2500.0,7076
2021-04,Appartement,T5+,2378.0703883495144,2328
2021-04,Appartement,Tous,3278.0193236714977,45830
2021-04,Maison,Studio,2500.0,1728
2021-04,Maison,T2,2133.3333333333335,4502
2021-04,Maison,T3,1943.8202247191011,11701
2021-04,Maison,T4,2050.0,19439
2021-04,Maison,T5+,1950.354609929078,24396
2021-04,Maison,Tous,2000.0,61847
2021-04,Tous,Studio,4250.0,10242
2021-04,Tous,T2,3274.358974358974,18665
2021-04,Tous,T3,2468.0851063829787,25375
2021-04,Tous,T4,2148.7603305785124,26515
2021-04,Tous,T5+,1972.2222222222222,26724
2021-04,Tous,Tous,2410.714285714286,107677
2021-05,Appartement,Studio,4444.444444444444,8327
2021-05,Appartement,T2,3644.4444444444443,14213
2021-05,Appartement,T3,2968.891129032258,13886
2021-05,Appartement,T4,2505.6825519824356,7186
2021-05,Appartement,T5+,2368.900343642612,2356
2021-05,Appartement,Tous,3281.25,46032
2021-05,Maison,Studio,2333.3333333333335,1594
2021-05,Maison,T2,2133.3333333333335,4310
2021-05,Maison,T3,1990.0,11573
2021-05,Maison,T4,2048.1927710843374,19378
2021-05,Maison,T5+,1958.3333333333333,23826
2021-05,Maison,Tous,2000.0,60759
2021-05,Tous,Studio,4190.476190476191,9921
2021-05,Tous,T2,3329.7872340425533,18523
2021-05,Tous,T3,2492.4242424242425,25459
2021-05,Tous,T4,2150.3496503496503,26564
2021-05,Tous,T5+,1983.3333333333333,26182
2021-05,Tous,Tous,2433.3333333333335,106791
2021-06,Appartement,Studio,4583.333333333333,10816
2021-06,Appartement,T2,3651.7021276595747,17955
2021-06,Appartement,T3,3012.0481927710844,17729
2021-06,Appartement,T4,2625.0,9567
2021-06,Appartement,T5+,2531.818181818182,3067
2021-06,Appartement,Tous,3338.970588235294,59235
2021-06,Maison,Studio,2428.5714285714284,2153
2021-06,Maison,T2,2205.8823529411766,5597
2021-06,Maison,T3,2000.0,14708
2021-06,Maison,T4,2127.073863636364,25378
2021-06,Maison,T5+,2032.0,32342
2021-06,Maison,Tous,2072.9166666666665,80283
2021-06,Tous,Studio,4285.714285714285,12969
2021-06,Tous,T2,3335.248447204969,23552
2021-06,Tous,T3,2532.2580645161293,32437
2021-06,Tous,T4,2231.7073170731705,34945
2021-06,Tous,T5+,2057.4712643678163,35409
2021-06,Tous,Tous,2500.0,139518
2021-07,Appartement,Studio,4693.376068376068,10630
